Date,Condition,Primary,Secondary,Time,DiptCt,Rp49Ct,CrebA,TSF1,Dipt_deltaCt,Dipt_deltadeltaCt_normexp,Dipt_Quality,Dipt_deltadeltaCt_normALL,CrebA_deltaCt,CrebA_deltadeltaCt,Tsf1_deltaCt,Tsf1_deltadeltaCt
04.15.2022,PBS,01_PBS,NA,0,26.6,19.48,24.29,19.47,7.12,0,Good,2.0775,4.81,-2.6225,-0.01,-1.205
04.15.2022,0.001 S.m,02_Sm0.001,NA,0,24.73,17.05,22.74,18.45,7.68,0.56,Good,2.6375,5.69,-1.7425,1.4,0.205
04.15.2022,0.01 S.m,03_Sm0.01,NA,0,20.3,16.5,26.22,19.91,3.8,-3.32,Good,-1.2425,9.72,2.2875,3.41,2.215
04.15.2022,0.1 S.m,04_Sm0.1,NA,0,14.97,16.3,22.37,19.21,-1.33,-8.45,Good,-6.3725,6.07,-1.3625,2.91,1.715
04.15.2022,1.0 S.m,05_Sm1.0,NA,0,18.63,17.22,22.32,19.69,1.41,-5.71,Good,-3.6325,5.1,-2.3325,2.47,1.275
04.15.2022,2.0 S.m,06_Sm2.0,NA,0,15.3,17.05,21.32,16.24,-1.75,-8.87,Good,-6.7925,4.27,-3.1625,-0.81,-2.005
04.15.2022,PBS-PBS,01_PBS,01_PBS,12,19.26,18.07,,,1.19,-5.93,Good,-3.8525,,,,
04.15.2022,0.001 S.m-PBS,02_Sm0.001,01_PBS,12,22.16,20.67,,,1.49,-5.63,Good,-3.5525,,,,
04.15.2022,0.01 S.m-PBS,03_Sm0.01,01_PBS,12,18.89,20.52,,,-1.63,-8.75,Okay,-6.6725,,,,
04.15.2022,0.1 S.m-PBS,04_Sm0.1,01_PBS,12,18.49,21.08,,,-2.59,-9.71,Good,-7.6325,,,,
04.15.2022,1.0 S.m-PBS,05_Sm1.0,01_PBS,12,18.02,18.59,,,-0.57,-7.69,Good,-5.6125,,,,
04.15.2022,2.0 S.m-PBS,06_Sm2.0,01_PBS,12,20.54,20.59,,,-0.05,-7.17,Good,-5.0925,,,,
04.15.2022,PBS-2.0 P.rett,01_PBS,02_Pr2.0,12,20.91,19.63,,,1.28,-5.84,Good,-3.7625,,,,
04.15.2022,0.001 S.m-2.0 P.rett,02_Sm0.001,02_Pr2.0,12,21.65,36.16,,,-14.51,-21.63,Bad,-19.5525,,,,
04.15.2022,0.01 S.m-2.0 P.rett,03_Sm0.01,02_Pr2.0,12,22.7,25.34,,,-2.64,-9.76,Good,-7.6825,,,,
04.15.2022,0.1 S.m-2.0 P.rett,04_Sm0.1,02_Pr2.0,12,21.5,23.91,,,-2.41,-9.53,Good,-7.4525,,,,
04.15.2022,1.0 S.m-2.0 P.rett,05_Sm1.0,02_Pr2.0,12,19.89,19.77,,,0.12,-7,Good,-4.9225,,,,
04.15.2022,2.0 S.m-2.0 P.rett,06_Sm2.0,02_Pr2.0,12,18.59,18.81,,,-0.22,-7.34,Good,-5.2625,,,,
04.15.2022,PBS-0.01 P.snee,01_PBS,03_Ps0.01,12,23.23,24.85,,,-1.62,-8.74,Okay,-6.6625,,,,
04.15.2022,0.001 S.m-0.01 P.snee,02_Sm0.001,03_Ps0.01,12,22.995,22.74,,,0.255,-6.865,Okay,-4.7875,,,,
04.15.2022,0.01 S.m-0.01 P.snee,03_Sm0.01,03_Ps0.01,12,16.35,19.77,,,-3.42,-10.54,Good ,-8.4625,,,,
04.15.2022,0.1 S.m-0.01 P.snee,04_Sm0.1,03_Ps0.01,12,31.41,34.6,,,-3.19,-10.31,Good,-8.2325,,,,
04.15.2022,1.0 S.m-0.01 P.snee,05_Sm1.0,03_Ps0.01,12,19.05,18.73,,,0.32,-6.8,Good ,-4.7225,,,,
04.15.2022,2.0 S.m-0.01 P.snee,06_Sm2.0,03_Ps0.01,12,17.49,17.73,,,-0.24,-7.36,Good,-5.2825,,,,
04.15.2022,PBS-PBS,01_PBS,01_PBS,12,17.06,18.24,,,-1.18,-8.3,Good ,-6.2225,,,,
04.15.2022,0.001 S.m-PBS,02_Sm0.001,01_PBS,12,17.34,18.64,,,-1.3,-8.42,Good,-6.3425,,,,
04.15.2022,0.01 S.m-PBS,03_Sm0.01,01_PBS,12,15.53,18.17,,,-2.64,-9.76,Good ,-7.6825,,,,
04.15.2022,0.1 S.m-PBS,04_Sm0.1,01_PBS,12,16.04,18.66,,,-2.62,-9.74,Good,-7.6625,,,,
04.15.2022,1.0 S.m-PBS,05_Sm1.0,01_PBS,12,15.92,17.04,,,-1.12,-8.24,Good ,-6.1625,,,,
04.15.2022,2.0 S.m-PBS,06_Sm2.0,01_PBS,12,17.71,18.47,,,-0.76,-7.88,Good,-5.8025,,,,
04.15.2022,PBS-2.0 P.rett,01_PBS,02_Pr2.0,12,17.01,18.28,,,-1.27,-8.39,Good ,-6.3125,,,,
04.15.2022,0.001 S.m-2.0 P.rett,02_Sm0.001,02_Pr2.0,12,16.8,18.42,,,-1.62,-8.74,Good,-6.6625,,,,
04.15.2022,0.01 S.m-2.0 P.rett,03_Sm0.01,02_Pr2.0,12,15.63,18.02,,,-2.39,-9.51,Good ,-7.4325,,,,
04.15.2022,0.1 S.m-2.0 P.rett,04_Sm0.1,02_Pr2.0,12,16.68,19.36,,,-2.68,-9.8,Good,-7.7225,,,,
04.15.2022,1.0 S.m-2.0 P.rett,05_Sm1.0,02_Pr2.0,12,16.44,18.38,,,-1.94,-9.06,Good ,-6.9825,,,,
04.15.2022,2.0 S.m-2.0 P.rett,06_Sm2.0,02_Pr2.0,12,18.47,20.52,,,-2.05,-9.17,Good,-7.0925,,,,
04.15.2022,PBS-0.01 P.snee,01_PBS,03_Ps0.01,12,15.1,18.4,,,-3.3,-10.42,Good ,-8.3425,,,,
04.15.2022,0.001 S.m-0.01 P.snee,02_Sm0.001,03_Ps0.01,12,16.71,19.72,,,-3.01,-10.13,Good,-8.0525,,,,
04.15.2022,0.01 S.m-0.01 P.snee,03_Sm0.01,03_Ps0.01,12,14.55,17.63,,,-3.08,-10.2,Good ,-8.1225,,,,
04.15.2022,0.1 S.m-0.01 P.snee,04_Sm0.1,03_Ps0.01,12,13.2,16.55,,,-3.35,-10.47,Good,-8.3925,,,,
04.15.2022,1.0 S.m-0.01 P.snee,05_Sm1.0,03_Ps0.01,12,14.52,17.35,,,-2.83,-9.95,Good ,-7.8725,,,,
04.15.2022,2.0 S.m-0.01 P.snee,06_Sm2.0,03_Ps0.01,12,14.45,17.51,,,-3.06,-10.18,Good,-8.1025,,,,
