date,replicate,scientist,primary,secondary_dose,time,load
6/22/2018,III,Frank,01_PBS,0.001,0,12
6/22/2018,III,Frank,01_PBS,0.001,0,18
6/22/2018,III,Frank,01_PBS,0.001,0,12
6/22/2018,III,Frank,01_PBS,0.001,0,56
6/22/2018,III,Frank,01_PBS,0.001,0,24
6/22/2018,III,Frank,01_PBS,0.001,10,41600
6/22/2018,III,Frank,01_PBS,0.001,10,19000
6/22/2018,III,Frank,01_PBS,0.001,10,22400
6/22/2018,III,Frank,01_PBS,0.001,10,33600
6/22/2018,III,Frank,01_PBS,0.01,0,226
6/22/2018,III,Frank,01_PBS,0.01,0,296
6/22/2018,III,Frank,01_PBS,0.01,10,127000
6/22/2018,III,Frank,01_PBS,0.01,10,205000
6/22/2018,III,Frank,01_PBS,0.01,10,84000
6/22/2018,III,Frank,01_PBS,0.01,10,56000
6/22/2018,III,Frank,01_PBS,0.1,0,1094
6/22/2018,III,Frank,01_PBS,0.1,0,1335
6/22/2018,III,Frank,01_PBS,0.1,0,2273
6/22/2018,III,Frank,01_PBS,0.1,10,1440000
6/22/2018,III,Frank,01_PBS,0.1,10,1440000
6/22/2018,III,Frank,01_PBS,0.1,10,1160000
6/22/2018,III,Frank,01_PBS,0.1,10,1250000
6/22/2018,III,Frank,01_PBS,1,0,8148
6/22/2018,III,Frank,01_PBS,1,0,5766
6/22/2018,III,Frank,01_PBS,1,0,6296
6/22/2018,III,Frank,01_PBS,1,0,7593
6/22/2018,III,Frank,01_PBS,1,0,7080
6/22/2018,III,Frank,01_PBS,1,0,1742
6/22/2018,III,Frank,01_PBS,1,10,3870000
6/22/2018,III,Frank,01_PBS,1,10,8690000
6/22/2018,III,Frank,01_PBS,1,10,4820000
6/22/2018,III,Frank,01_PBS,1,10,7450000
6/22/2018,III,Frank,02_Efae,0.001,0,12
6/22/2018,III,Frank,02_Efae,0.001,0,18
6/22/2018,III,Frank,02_Efae,0.001,0,12
6/22/2018,III,Frank,02_Efae,0.001,0,24
6/22/2018,III,Frank,02_Efae,0.001,10,3200
6/22/2018,III,Frank,02_Efae,0.001,10,2200
6/22/2018,III,Frank,02_Efae,0.001,10,5200
6/22/2018,III,Frank,02_Efae,0.001,10,19000
6/22/2018,III,Frank,02_Efae,0.01,0,226
6/22/2018,III,Frank,02_Efae,0.01,0,296
6/22/2018,III,Frank,02_Efae,0.01,10,85333
