scientist,rep,primary,secondary_dose,vial,day,status,alive3,X0.hour,X10.hour,log10_10hour,bin_primary,bin_alive3
Frank,5,PBS,0.001,1,1,1,FALSE,100.5,7978.905732,3.901943334,0,0
Frank,5,PBS,0.001,1,2,1,FALSE,100.5,7978.905732,3.901943334,0,0
Frank,5,PBS,0.001,1,4,1,TRUE,100.5,7978.905732,3.901943334,0,1
Frank,5,PBS,0.001,3,1,1,FALSE,100.5,7978.905732,3.901943334,0,0
Frank,5,PBS,0.001,3,1,1,FALSE,100.5,7978.905732,3.901943334,0,0
Frank,5,PBS,0.001,3,1,1,FALSE,100.5,7978.905732,3.901943334,0,0
Frank,5,PBS,0.001,3,1,1,FALSE,100.5,7978.905732,3.901943334,0,0
Frank,5,PBS,0.001,3,4,0,TRUE,100.5,7978.905732,3.901943334,0,1
Frank,5,PBS,0.001,3,4,0,TRUE,100.5,7978.905732,3.901943334,0,1
Frank,5,PBS,0.001,3,4,0,TRUE,100.5,7978.905732,3.901943334,0,1
Frank,5,PBS,0.001,3,4,0,TRUE,100.5,7978.905732,3.901943334,0,1
Frank,5,PBS,0.001,3,4,0,TRUE,100.5,7978.905732,3.901943334,0,1
Frank,5,PBS,0.01,4,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,4,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,4,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,4,4,0,TRUE,343.5,67120.19325,4.826853198,0,1
Frank,5,PBS,0.01,5,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,5,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,5,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,5,1,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.01,5,2,1,FALSE,343.5,67120.19325,4.826853198,0,0
Frank,5,PBS,0.1,8,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,8,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,8,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,8,3,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,2,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,9,3,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,11,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,11,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,11,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,11,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,11,1,1,FALSE,3628,395389.8466,5.597025513,0,0
Frank,5,PBS,0.1,11,4,0,TRUE,3628,395389.8466,5.597025513,0,1
Frank,5,PBS,0.1,11,4,0,TRUE,3628,395389.8466,5.597025513,0,1
Frank,5,PBS,0.1,11,4,0,TRUE,3628,395389.8466,5.597025513,0,1
Frank,5,PBS,0.1,11,4,0,TRUE,3628,395389.8466,5.597025513,0,1
Frank,5,PBS,1,12,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,12,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,12,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,12,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,12,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,1,1,FALSE,19020.5,1843209.8,6.265574771,0,0
Frank,5,PBS,1,15,4,0,TRUE,19020.5,1843209.8,6.265574771,0,1
Frank,5,PBS,1,15,4,0,TRUE,19020.5,1843209.8,6.265574771,0,1
Frank,5,S.M,0.001,17,1,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,17,1,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,17,1,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,18,1,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,18,3,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,18,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,19,1,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,19,2,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,19,2,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,19,3,1,FALSE,567.5,4593.026911,3.66209899,1,0
Frank,5,S.M,0.001,19,4,1,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,19,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.001,19,4,0,TRUE,567.5,4593.026911,3.66209899,1,1
Frank,5,S.M,0.01,21,1,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,21,1,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,21,2,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,21,3,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,22,1,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,22,1,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,22,1,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,22,2,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,22,2,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,22,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,22,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,22,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,22,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,23,1,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,23,2,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,23,2,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,23,3,1,FALSE,724,19892.89055,4.298697893,1,0
Frank,5,S.M,0.01,23,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,23,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,23,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,23,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.01,23,4,0,TRUE,724,19892.89055,4.298697893,1,1
Frank,5,S.M,0.1,25,1,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,25,1,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,25,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,26,1,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,26,1,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,26,3,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,26,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,26,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,26,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,26,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,1,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,27,1,1,FALSE,2767.5,81170.40761,4.909397727,1,0
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,0.1,27,4,0,TRUE,2767.5,81170.40761,4.909397727,1,1
Frank,5,S.M,1,28,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,28,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,28,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,28,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,28,3,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,28,4,1,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,28,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,28,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,30,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,30,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,30,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,30,2,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,30,2,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,30,3,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,30,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,30,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,30,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,31,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,31,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,31,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,31,1,1,FALSE,16063.5,952166.0195,5.978712678,1,0
Frank,5,S.M,1,31,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,31,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,31,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,31,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,5,S.M,1,31,4,0,TRUE,16063.5,952166.0195,5.978712678,1,1
Frank,9-Aug,PBS,0.001,3,2,1,FALSE,1037.5,2999.307698,3.477021022,0,0
Frank,9-Aug,PBS,0.001,3,2,1,FALSE,1037.5,2999.307698,3.477021022,0,0
Frank,9-Aug,PBS,0.001,3,2,1,FALSE,1037.5,2999.307698,3.477021022,0,0
Frank,9-Aug,PBS,0.001,3,5,0,TRUE,1037.5,2999.307698,3.477021022,0,1
Frank,9-Aug,PBS,0.001,3,5,0,TRUE,1037.5,2999.307698,3.477021022,0,1
Frank,9-Aug,PBS,0.001,3,5,0,TRUE,1037.5,2999.307698,3.477021022,0,1
Frank,9-Aug,PBS,0.001,3,5,0,TRUE,1037.5,2999.307698,3.477021022,0,1
Frank,9-Aug,PBS,1,5,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,5,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,5,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,5,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,5,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,5,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,1,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,PBS,1,6,2,1,FALSE,20279,4674065.792,6.669694821,0,0
Frank,9-Aug,S.M,0.001,7,1,1,FALSE,603.5,229.0525313,2.359935096,1,0
Frank,9-Aug,S.M,0.001,7,5,0,TRUE,603.5,229.0525313,2.359935096,1,1
Frank,9-Aug,S.M,0.001,7,5,0,TRUE,603.5,229.0525313,2.359935096,1,1
