date,scientist,rep,primary,secondary,secondary_dose,condition,vial,day,hour,status,alive3,opposite
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,3.333333,80,1,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,PBS,0,PBS Control,C2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,1,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,2,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.001,1,3,8.041667,193,0,TRUE,FALSE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,0.25,6,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.333333,32,1,FALSE,TRUE
