date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,status
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,9,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C1,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,PBS,0,PBS-PBS Control,C2,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C3,3,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C4,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,1,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,5,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C5,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,2,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,3,1
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,10,0
10/18/2020,Abby,Fall 2020 exp 6,PBS,0,P.rett,2,PBS-P.rett Control,C6,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,1,10,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,3,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,2,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,3,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,3,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,3,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,3,3,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.001,P.rett,2,S.m 0.001,4,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,5,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,4,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,6,10,0
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,1,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,2,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,4,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,4,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,8,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,9,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,10,1
10/18/2020,Abby,Fall 2020 exp 6,S.m,0.01,P.rett,2,S.m 0.01,7,10,0
