date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,hour,status
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C1,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,0.916666667,22,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,PBS,0,PBS-PBS Control,C2,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C3,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C4,1.333333333,32,1
